ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount,Execution_Count_Cum,Avg_Latency_Cum,Opcode_Num,Opcode_Num_Norm,Bitwidth_Norm,Execution_Count_Norm,Avg_Latency_Norm,FSS_Score
1129,0x7ffff7fcf121,LOGIC,32.0,59.0,55.32,,0.0,59.0,55.32,2.0,0.5,0.2,0.0232,0.05282654980475276,0.19400663745118818
896,0x7ffff7fcf124,STORE,32.0,23.0,55.65,L1,0.0,23.0,55.65,4.0,1.0,0.2,0.0088,0.053141618690268184,0.315485404672567
1188,0x7ffff7fcf128,LOAD,32.0,68.0,478.59,LLC,0.0,68.0,478.59,4.0,1.0,0.2,0.0268,0.4569453594172179,0.42093633985430445
916,0x7ffff7fcf128,LOAD,32.0,26.0,1047.38,LLC,0.0,26.0,1047.38,4.0,1.0,0.2,0.010000000000000002,1.0,0.5525
982,0x7ffff7fcf128,LOAD,32.0,10.0,121.60399999999971,LLC,0.0,36.0,790.22,4.0,1.0,0.2,0.0036,0.11611147710022027,0.3299278692750551
1194,0x7ffff7fcf12f,BRANCH,64.0,69.0,56.12,,2.0,69.0,56.12,1.0,0.25,0.4666666666666667,0.027200000000000002,0.053590353163578026,0.1993642549575612
884,0x7ffff7fcf12f,BRANCH,64.0,21.0,57.89999999999999,,2.0,21.0,57.9,1.0,0.25,0.4666666666666667,0.008000000000000002,0.05528981563696425,0.19498912057590773
1084,0x7ffff7fcf135,OTHER,64.0,52.0,57.85000000000001,,0.0,52.0,57.85,0.0,0.0,0.4666666666666667,0.0204,0.05524207792703768,0.1355771861484261
947,0x7ffff7fcf135,OTHER,64.0,31.0,56.77,,0.0,31.0,56.77,0.0,0.0,0.4666666666666667,0.012000000000000002,0.05421094339262356,0.13321940251482256
1058,0x7ffff7fcf138,OTHER,32.0,48.0,51.330000000000005,,0.0,48.0,51.33,0.0,0.0,0.2,0.0188,0.04901708055261173,0.06695427013815294
470,0x7ffff7fcf138,OTHER,32.0,2.0,32.0,,0.0,2.0,32.0,0.0,0.0,0.2,0.0004,0.03056168189499613,0.05774042047374904
1029,0x7ffff7fcf140,OTHER,64.0,629.0,54.38000000000001,,0.0,629.0,54.38,0.0,0.0,0.4666666666666667,0.2512,0.051929080858133074,0.19244893688119993
1040,0x7ffff7fcf140,OTHER,64.0,10.0,51.18499999999913,,0.0,639.0,54.33,0.0,0.0,0.4666666666666667,0.0036,0.04887864119382381,0.12978632696512263
