ID,PC,Opcode,Bitwidth,Execution_Count,Avg_Latency,MemLevel,BranchCount
326,0x7ffff7fda9dd,ARITH,64,782,56.51,N/A,0
327,0x7ffff7fdaa60,ARITH,32,2034,54.99,N/A,0
328,0x7ffff7fdaa84,OTHER,32,525,55.16,N/A,0
329,0x7ffff7fdaa75,LOGIC,32,2054,54.29,N/A,0
330,0x7ffff7fdaa60,ARITH,32,2062,55.03,N/A,0
331,0x7ffff7fda9d5,LOAD,32,794,58.68,L2,0
332,0x7ffff7fdaa7e,OTHER,64,533,54.39,N/A,0
333,0x7ffff7fdaa64,BRANCH,64,2079,54.53,N/A,2
334,0x7ffff7fdaa75,LOGIC,32,2088,54.36,N/A,0
335,0x7ffff7fdaa60,ARITH,32,2096,55.07,N/A,0
336,0x7ffff7fdaa22,BRANCH,64,64,4.50,N/A,2
337,0x7ffff7fdaa60,ARITH,32,2109,55.12,N/A,0
338,0x7ffff7fdaa6a,LOAD,32,2120,72.53,LLC,0
339,0x7ffff7fdaa78,BRANCH,64,2128,19.49,N/A,2
340,0x7ffff7fda9be,ARITH,32,62,56.77,N/A,0
341,0x7ffff7fda9e1,LOGIC,32,817,56.13,N/A,0
342,0x7ffff7fdaa6a,LOAD,32,2137,72.55,LLC,0
343,0x7ffff7fdaa75,LOGIC,32,2146,54.46,N/A,0
344,0x7ffff7fdaa5c,ARITH,64,2155,55.14,N/A,0
345,0x7ffff7fdaa6f,BRANCH,64,2164,55.38,N/A,2
346,0x7ffff7fda9da,OTHER,64,829,55.62,N/A,0
347,0x7ffff7fdaa08,OTHER,64,63,54.86,N/A,0
348,0x7ffff7fdaa60,ARITH,32,2178,55.20,N/A,0
349,0x7ffff7fdaa6a,LOAD,32,2189,72.51,LLC,0
350,0x7ffff7fdaa95,BRANCH,64,593,3.35,N/A,2
351,0x7ffff7fdaa64,BRANCH,64,2205,54.57,N/A,2
352,0x7ffff7fdaa6f,BRANCH,64,2208,55.36,N/A,2
353,0x7ffff7fdaa78,BRANCH,64,2217,19.53,N/A,2
